State,Percent High School Or Higher,Percent Bachelors Or Higher
Montana,93.6,32
Wyoming,93.2,27.4
New Hampshire,93.1,37
Minnesota,93.1,36.1
Alaska,92.8,29.6
Vermont,92.7,38
North Dakota,92.6,30
Maine,92.6,31.8
Utah,92.3,34
Wisconsin,92.2,30.1
Iowa,92.1,28.6
Hawaii,92,33
South Dakota,91.7,28.8
Colorado,91.7,40.9
Nebraska,91.4,31.9
Washington,91.3,36
Kansas,91,33.4
Michigan,90.8,29.1
Massachusetts,90.8,43.7
Idaho,90.8,27.6
Oregon,90.7,33.7
Connecticut,90.6,39.3
Pennsylvania,90.5,31.4
Ohio,90.4,28.3
Maryland,90.2,40.2
Delaware,90,32
Missouri,89.9,29.2
New Jersey,89.8,39.7
Virginia,89.7,38.8
Illinois,89.2,34.7
Rhode Island,88.8,34.2
Indiana,88.8,26.5
Florida,88.2,29.9
Oklahoma,88,25.5
North Carolina,87.8,31.3
Tennessee,87.5,27.3
South Carolina,87.5,28.1
Georgia,87.1,31.3
Arizona,87.1,29.5
West Virginia,86.9,20.6
New York,86.8,36.6
Nevada,86.7,24.7
Arkansas,86.6,23
Kentucky,86.3,24.2
Alabama,86.2,25.5
New Mexico,85.6,27.3
Louisiana,85.2,24.1
Mississippi,84.5,22
Texas,83.7,29.9
California,83.3,33.9
